InitialInteractionTime,AverageTimeBetweenInteractions,TotalTimeInProximity,AverageTimeInProximity,NumberOfInteractions
14.36685,1.743471,0,0,20
14.23754,1.624767,0,0,9
15.86825,0.7082601,0,0,6
16.17739,1.28658,0,0,17
15.28803,1.414606,0,0,14
15.91686,2.105602,0,0,7
14.43718,1.563919,0,0,7
18.94104,2.34131,0,0,12
15.76512,3.952583,0,0,2
15.17194,2.712274,0,0,2
15.19521,2.270941,0,0,2
14.90393,2.309707,0,0,2
16.83282,4.380386,0,0,11
35.99835,7.38909,0,0,10
14.4485,5.364853,0,0,8
16.63572,2.092934,0,0,37
16.08373,1.39986,0,0,6
15.64251,4.127279,0,0,11
16.79519,5.559527,0,0,17
19.04364,1.208769,0,0,25
7.353642,0,0,0,1
7.569216,1.524674,0,0,2
9.123635,3.095864,0,0,7
8.441024,3.147936,0,0,8
11.51339,2.304466,0,0,6
17.926,2.50997,0,0,13
